Product A,Product B,Times Bought Together,Product A Id,Product A Variation Id,Product B Id,Product B Variation Id
Mountain Top,Nat's Nuts Maple Bourbon Almonds,1,950,0,9520,0
Mountain Top,Nat's Nuts Vanilla Chai Cashews,1,950,0,9518,0
Mountain Top,Organic Sourdough Sea Salt Crackers,1,950,0,5347,0
Mountain Top,Parra Jimenez Organic Manchego,1,950,0,12544,0
Mountain Top,Shakerag Blue,1,950,0,8383,0
Mountain Top,The Heritage Sampler,1,950,0,3985,0
Mountain Top,Wensleydale with Cranberry,1,950,0,4677,0
Nat's Nuts Maple Bourbon Almonds,Nat's Nuts Vanilla Chai Cashews,1,9520,0,9518,0
Nat's Nuts Maple Bourbon Almonds,White Rock,1,9520,0,4602,0
Nat's Nuts Vanilla Chai Cashews,White Rock,1,9518,0,4602,0
Potter's Organic Winter Wheat Crackers,Wensleydale with Cranberry,1,12554,0,4677,0
Red Leicester,White Rock,1,11909,0,4602,0
Shakerag Blue,White Rock,1,8383,0,4602,0
The Heritage Sampler,Wensleydale with Cranberry,1,3985,0,4677,0
The Heritage Sampler,White Rock,1,3985,0,4602,0
West Virginia Cherry-Jalapeño Pepper Jam,White Rock,1,13476,0,4602,0
